"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1204","Check displaying of empty courses list","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1450","Registration with correct email, username and password","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
"","1519","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1622","Check displaying of dashboard page","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
"","2497","User login with correct email and password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1546","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","2302","Create course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1220","Navigation from login page to registration page","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1341","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","2849","Edit course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
