"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1666","Check displaying of dashboard page","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
"","2459","User login with correct email and password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","2566","Create course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1174","Navigation from login page to registration page","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1352","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1430","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","1108","Check displaying of empty courses list","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1581","User login with wrong email or password","LMS system","2026-07-30","passed","2026-07-30","Authorization","Authentication","",""
"","2831","Edit course","LMS system","2026-07-30","passed","2026-07-30","Courses","Courses","",""
"","1501","Registration with correct email, username and password","LMS system","2026-07-30","passed","2026-07-30","Dashboard","Dashboard","",""
